"Category","Item","Serving.Size","Calories","Calories.from.Fat","Total.Fat","Total.Fat....Daily.Value.","Saturated.Fat","Saturated.Fat....Daily.Value.","Trans.Fat","Cholesterol","Cholesterol....Daily.Value.","Sodium","Sodium....Daily.Value.","Carbohydrates","Carbohydrates....Daily.Value.","Dietary.Fiber","Dietary.Fiber....Daily.Value.","Sugars","Protein","Vitamin.A....Daily.Value.","Vitamin.C....Daily.Value.","Calcium....Daily.Value.","Iron....Daily.Value.","Price","Drink","Calcium","Iron"
"Beef & Pork","Daily Double","6.7 oz (190 g)",430,200,22,35,9,44,1,80,27,760,32,34,11,2,8,7,22,8,8,20,20,"2.99",0,260,3.6
"Chicken & Fish","Premium Crispy Chicken Classic Sandwich","7.5 oz (213 g)",510,200,22,33,3.5,18,0,45,16,990,41,55,18,3,13,10,24,4,6,15,20,"4.79",0,195,3.6
"Chicken & Fish","Premium Crispy Chicken Club Sandwich","8.8 oz (249 g)",670,300,33,51,9,44,0,85,29,1410,59,58,19,3,14,11,36,8,20,30,20,"5.59",0,390,3.6
"Chicken & Fish","McChicken","5.1 oz (143 g)",360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15,"3.09",0,130,2.7
"Chicken & Fish","Chicken McNuggets (4 piece)","2.3 oz (65 g)",190,110,12,18,2,10,0,25,9,360,15,12,4,1,2,0,9,0,2,0,2,"1.89",0,0,0.36
"Chicken & Fish","Chicken McNuggets (6 piece)","3.4 oz (97 g)",280,160,18,27,3,15,0,40,13,540,22,18,6,1,4,0,13,0,2,2,4,"2.5",0,26,0.72
"Chicken & Fish","Chicken McNuggets (10 piece)","5.7 oz (162 g)",470,270,30,45,5,25,0,65,22,900,37,30,10,2,6,0,22,0,4,2,6,"5.16",0,26,1.08
"Chicken & Fish","Chicken McNuggets (20 piece)","11.4 oz (323 g)",940,530,59,91,10,50,0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10,"6.89",0,52,1.8
"Chicken & Fish","Chicken McNuggets (40 piece)","22.8 oz (646 g)",1880,1060,118,182,20,101,1,265,89,3600,150,118,39,6,24,1,87,0,15,8,25,"12.39",0,104,4.5
"Chicken & Fish","Filet-O-Fish","5 oz (142 g)",390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10,"4.89",0,195,1.8
"Salads","Premium Bacon Ranch Salad (without Chicken)","7.9 oz (223 g)",140,70,7,11,3.5,18,0,25,9,300,13,10,3,3,12,4,9,170,30,15,6,"5.28",0,195,1.08
"Salads","Premium Bacon Ranch Salad with Crispy Chicken","9 oz (255 g)",380,190,21,33,6,29,0,70,23,860,36,22,7,2,10,5,25,100,25,15,8,"5.28",0,195,1.44
"Salads","Premium Bacon Ranch Salad with Grilled Chicken","8.5 oz (241 g)",220,80,8,13,4,20,0,85,29,690,29,8,3,2,10,4,29,110,30,15,8,"5.28",0,195,1.44
"Salads","Premium Southwest Salad (without Chicken)","8.1 oz (230 g)",140,40,4.5,7,2,9,0,10,3,150,6,20,7,6,23,6,6,160,25,15,10,"5.51",0,195,1.8
"Salads","Premium Southwest Salad with Crispy Chicken","12.3 oz (348 g)",450,190,22,33,4.5,22,0,50,17,850,35,42,14,7,28,12,23,170,30,15,15,"5.51",0,195,2.7
"Salads","Premium Southwest Salad with Grilled Chicken","11.8 oz (335 g)",290,80,8,13,2.5,13,0,70,23,680,28,28,9,7,28,10,27,170,30,15,15,"5.51",0,195,2.7
"Snacks & Sides","Medium French Fries","3.9 oz (111 g)",340,140,16,24,2.5,11,0,0,0,190,8,44,15,4,14,0,4,0,45,2,4,"3.59",0,26,0.72
"Snacks & Sides","Side Salad","3.1 oz (87 g)",20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4,"1.99",0,26,0.72
"Snacks & Sides","Apple Slices","1.2 oz (34 g)",15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,160,2,0,"0.89",0,26,0
"Desserts","Baked Apple Pie","2.7 oz (77 g)",250,110,13,19,7,35,0,0,0,170,7,32,11,4,15,13,2,4,25,2,6,"1.59",0,26,1.08
"Desserts","Chocolate Chip Cookie","1 cookie (33 g)",160,70,8,12,3.5,19,0,10,3,90,4,21,7,1,3,15,2,2,0,2,8,"1.99",0,26,1.44
"Desserts","Oatmeal Raisin Cookie","1 cookie (33 g)",150,50,6,9,2.5,13,0,10,3,135,6,22,7,1,3,13,2,2,0,2,6,"1.99",0,26,1.08
"Desserts","Hot Fudge Sundae","6.3 oz (179 g)",330,80,9,14,7,34,0,25,8,170,7,53,18,1,3,48,8,8,0,25,8,"3.49",0,325,1.44
"Desserts","Hot Caramel Sundae","6.4 oz (182 g)",340,70,8,12,5,24,0,30,10,150,6,60,20,0,0,43,7,10,0,25,0,"3.49",0,325,0
"Desserts","Strawberry Sundae","6.3 oz (178 g)",280,60,6,10,4,20,0,25,8,85,4,49,16,0,0,45,6,8,4,20,0,"3.49",0,260,0
"Beverages","Coca-Cola Classic ","21 fl oz cup",200,0,0,0,0,0,0,0,0,5,0,55,18,0,0,55,0,0,0,0,0,"1.79",1,0,0
"Beverages","Diet Coke ","21 fl oz cup",0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,"1.79",1,0,0
"Beverages","Dr Pepper ","21 fl oz cup",190,0,0,0,0,0,0,0,0,65,3,53,18,0,0,51,0,0,0,0,0,"1.79",1,0,0
"Beverages","Diet Dr Pepper ","21 fl oz cup",0,0,0,0,0,0,0,0,0,100,4,0,0,0,0,0,3,0,0,0,0,"1.79",1,0,0
"Beverages","Sprite ","21 fl oz cup",200,0,0,0,0,0,0,0,0,45,2,54,18,0,0,54,0,0,0,0,0,"1.79",1,0,0
"Beverages","1% Low Fat Milk Jug","1 carton (236 ml)",100,20,2.5,4,1.5,8,0,10,3,125,5,12,4,0,0,12,8,10,4,30,0,"1.49",1,390,0
"Beverages","Fat Free Chocolate Milk Jug","1 carton (236 ml)",130,0,0,0,0,0,0,5,2,135,6,23,8,1,2,22,9,10,0,30,8,"1.49",1,390,1.44
"Beverages","Minute Maid Orange Juice ","16 fl oz cup",190,0,0,0,0,0,0,0,0,0,0,44,15,0,0,39,3,0,160,4,0,"3.29",1,52,0
"Beverages","Dasani Water Bottle","16.9 fl oz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.49",1,0,0
"Coffee & Tea","Iced Tea ","21 fl oz cup",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,"1.49",1,0,0
