Category,Item,CO2 g,Packaging,Total CO2,Serving.Size,Calories,Calories.from.Fat,Total.Fat,Total.Fat....Daily.Value.,Saturated.Fat,Saturated.Fat....Daily.Value.,Trans.Fat,Cholesterol,Cholesterol....Daily.Value.,Sodium,Sodium....Daily.Value.,Carbohydrates,Carbohydrates....Daily.Value.,Dietary.Fiber,Dietary.Fiber....Daily.Value.,Sugars,Protein,Vitamin.A....Daily.Value.,Vitamin.C....Daily.Value.,Calcium....Daily.Value.,Iron....Daily.Value.,Price
Desserts,Hot Caramel Sundae,684,270,954,6.4 oz (182 g),340,70,8,12,5,24,0,30,10,150,6,60,20,0,0,43,7,10,0,25,0,3.49
Desserts,Strawberry Sundae,684,270,954,6.3 oz (178 g),280,60,6,10,4,20,0,25,8,85,4,49,16,0,0,45,6,8,4,20,0,3.49
Beverages,Coca-Cola Classic ,135,270,405,21 fl oz cup,200,0,0,0,0,0,0,0,0,5,0,55,18,0,0,55,0,0,0,0,0,1.79
Beverages,Diet Coke ,124,270,394,21 fl oz cup,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,1.79
Beverages,Dr Pepper ,124,270,394,21 fl oz cup,190,0,0,0,0,0,0,0,0,65,3,53,18,0,0,51,0,0,0,0,0,1.79
Beverages,Diet Dr Pepper ,124,270,394,21 fl oz cup,0,0,0,0,0,0,0,0,0,100,4,0,0,0,0,0,3,0,0,0,0,1.79
Beverages,Sprite ,124,270,394,21 fl oz cup,200,0,0,0,0,0,0,0,0,45,2,54,18,0,0,54,0,0,0,0,0,1.79
Beverages,1% Low Fat Milk Jug,352,70,422,1 carton (236 ml),100,20,2.5,4,1.5,8,0,10,3,125,5,12,4,0,0,12,8,10,4,30,0,1.49
Beverages,Fat Free Chocolate Milk Jug,352,70,422,1 carton (236 ml),130,0,0,0,0,0,0,5,2,135,6,23,8,1,2,22,9,10,0,30,8,1.49
Beverages,Minute Maid Orange Juice ,299,420,719,16 fl oz cup,190,0,0,0,0,0,0,0,0,0,0,44,15,0,0,39,3,0,160,4,0,3.29
Beverages,Dasani Water Bottle,79,,79,16.9 fl oz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49
Coffee & Tea,Iced Tea ,242,420,662,21 fl oz cup,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1.49
Coffee & Tea,Sweet Tea ,242,,242,21 fl oz cup,180,0,0,0,0,0,0,0,0,10,0,45,15,0,0,45,1,0,0,0,0,1.49
Coffee & Tea,Coffee ,20,110,130,16 fl oz cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99
Coffee & Tea,Latte ,340,110,450,16 fl oz cup,210,90,10,16,6,30,0,30,11,140,6,18,6,1,4,15,11,10,0,35,0,3.29
Coffee & Tea,Caramel Latte ,340,110,450,16 fl oz cup,340,90,10,16,6,30,0,30,11,140,6,50,17,1,4,48,11,10,0,35,0,3.29
Coffee & Tea,Hazelnut Latte ,340,110,450,16 fl oz cup,330,90,10,16,6,30,0,30,11,140,6,50,17,1,4,47,11,10,0,35,0,3.29
Coffee & Tea,French Vanilla Latte ,340,110,450,16 fl oz cup,330,90,10,16,6,30,0,30,11,140,6,48,16,1,4,45,11,10,0,35,2,3.29
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup ,340,110,450,16 fl oz cup,260,90,10,16,6,30,0,30,11,190,8,29,10,1,5,15,12,10,0,35,0,3.29
Coffee & Tea,Nonfat Latte ,340,110,450,16 fl oz cup,130,0,0,0,0,0,0,5,2,135,6,19,6,1,4,16,12,15,0,40,0,3.29
Coffee & Tea,Nonfat Caramel Latte ,340,110,450,16 fl oz cup,250,0,0,0,0,0,0,5,2,135,6,51,17,1,4,48,12,15,0,40,0,3.29
Coffee & Tea,Nonfat Hazelnut Latte ,340,110,450,16 fl oz cup,250,0,0,0,0,0,0,5,2,135,6,51,17,1,4,48,12,15,0,40,0,3.29
Coffee & Tea,Nonfat French Vanilla Latte ,340,110,450,16 fl oz cup,240,0,0,0,0,0,0,5,2,140,6,49,16,1,4,46,12,15,0,40,2,3.29
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup ,340,110,450,16 fl oz cup,170,0,0,0,0,0,0,5,2,180,8,30,10,1,5,16,12,15,0,40,0,3.29
Coffee & Tea,Mocha ,645,110,755,16 fl oz cup,410,120,14,21,8,40,0,40,14,190,8,60,20,2,8,53,13,10,0,40,6,3.49
Coffee & Tea,Mocha with Nonfat Milk ,660,110,770,16 fl oz cup,330,30,3.5,6,2,11,0,15,5,190,8,60,20,2,8,53,13,15,0,40,6,1.49
Coffee & Tea,Caramel Mocha ,660,110,770,16 fl oz cup,390,120,14,21,8,40,0.5,40,14,220,9,55,18,1,4,50,12,15,0,40,2,3.49
Coffee & Tea,Nonfat Caramel Mocha ,660,110,770,16 fl oz cup,310,30,3.5,5,2,11,0,15,5,210,9,56,19,1,4,51,13,15,0,40,2,3.49
Coffee & Tea,Hot Chocolate ,563,110,673,16 fl oz cup,440,140,16,25,9,47,0.5,50,16,220,9,61,20,1,4,56,14,15,0,45,6,2.79
Coffee & Tea,Hot Chocolate with Nonfat Milk ,1091,110,1201,16 fl oz cup,340,30,3.5,5,2,11,0,15,6,220,9,61,20,1,4,57,14,20,0,50,6,2.79
Coffee & Tea,Regular Iced Coffee ,20,103,123,22 fl oz cup,190,60,7,11,4.5,22,0,25,9,50,2,31,10,0,0,30,1,4,0,4,0,2.69
Coffee & Tea,Caramel Iced Coffee ,50,103,153,22 fl oz cup,180,60,7,11,4.5,22,0,25,9,50,2,29,10,0,0,28,1,4,0,4,0,2.69
Coffee & Tea,Hazelnut Iced Coffee ,50,103,153,22 fl oz cup,180,60,7,11,4.5,22,0,25,9,50,2,29,10,0,0,28,1,4,0,4,0,2.69
Coffee & Tea,French Vanilla Iced Coffee ,50,103,153,22 fl oz cup,170,60,7,11,4.5,22,0,25,9,55,2,27,9,0,0,26,1,4,0,4,0,2.69
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup ,50,103,153,22 fl oz cup,120,60,7,11,4.5,22,0,25,9,90,4,12,4,0,0,2,1,4,0,4,0,2.69
Coffee & Tea,Iced Mocha ,50,103,153,16 fl oz cup,350,110,13,19,8,38,0,40,13,150,6,50,17,1,5,43,9,10,0,30,6,3.49
Coffee & Tea,Iced Mocha with Nonfat Milk ,50,103,153,16 fl oz cup,290,45,5,8,3.5,17,0,20,7,150,6,50,17,1,5,43,10,15,0,30,6,1.49
Coffee & Tea,Iced Caramel Mocha ,50,103,153,16 fl oz cup,340,110,13,19,7,37,0,40,13,170,7,46,15,1,2,41,9,10,0,30,2,3.49
Coffee & Tea,Iced Nonfat Caramel Mocha ,50,103,153,16 fl oz cup,270,45,5,8,3,16,0,20,7,170,7,47,16,1,2,41,10,15,0,30,2,3.49
Coffee & Tea,Frappé Mocha ,660,103,763,16 fl oz cup,550,200,22,34,14,71,1,75,25,160,7,80,27,1,4,71,9,15,0,25,4,3.99
Coffee & Tea,Frappé Caramel ,660,103,763,16 fl oz cup,550,200,23,35,15,73,1,80,27,160,7,79,26,0,0,71,9,20,0,30,2,3.99
Coffee & Tea,Frappé Chocolate Chip ,660,103,763,16 fl oz cup,630,240,26,41,17,85,1,80,26,160,7,91,30,1,5,81,9,15,0,30,4,3.99
Smoothies & Shakes,Blueberry Pomegranate Smoothie ,520,103,623,16 fl oz cup,260,5,1,1,0,0,0,5,1,50,2,62,21,4,15,54,3,0,4,8,2,3.69
Smoothies & Shakes,Strawberry Banana Smoothie ,520,103,623,16 fl oz cup,250,5,1,1,0,0,0,5,1,60,2,58,19,3,13,54,4,0,35,8,4,3.69
Smoothies & Shakes,Mango Pineapple Smoothie ,520,103,623,16 fl oz cup,260,10,1,1,0,0,0,5,1,45,2,61,20,1,5,56,3,40,25,8,2,3.69
Smoothies & Shakes,Vanilla Shake ,1000,103,1103,16 fl oz cup,660,170,19,29,12,61,1,75,24,200,9,109,36,0,0,81,14,25,0,50,0,3.69
Smoothies & Shakes,Strawberry Shake ,1000,103,1103,16 fl oz cup,690,180,20,30,13,63,1,75,25,210,9,114,38,0,0,100,15,25,0,50,0,3.69
Smoothies & Shakes,Chocolate Shake ,1000,103,1103,16 fl oz cup,700,180,20,30,12,62,1,75,24,300,13,114,38,2,6,97,15,25,0,50,10,3.69
Smoothies & Shakes,Shamrock Shake ,1000,103,1103,16 fl oz cup,660,170,19,29,12,61,1,75,24,210,9,109,36,0,0,93,14,25,0,50,0,3.69
Smoothies & Shakes,McFlurry with M&M’s Candies ,200,70,270,16.2 oz (460 g),930,290,33,50,20,102,1,75,25,260,11,139,46,2,7,128,20,25,0,70,10,4.29
Smoothies & Shakes,McFlurry with Oreo Cookies ,200,70,270,13.4 oz (381 g),690,200,23,35,12,58,1,55,19,380,16,106,35,1,5,85,15,20,0,50,10,1.99
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups ,200,70,270,14.2 oz (403 g),810,290,32,50,15,76,1,60,20,400,17,114,38,2,9,103,21,20,0,60,6,4.29
